Transaction_ID,Date,Account_Name,Description,Amount
1000,2023-07-01,Macquarie Cash Management,Opening Balance,12130
1000,2023-07-01,Settlement Sum,Opening Balance,-4852.0
1000,2023-07-01,Retained Earnings,Opening Balance,-7278.0
1001,2024-06-16,Telstra Internet,Supplier Payment,828.18
1001,2024-06-16,GST Paid,Supplier Payment,82.82
1001,2024-06-16,Macquarie Cash Management,Supplier Payment,-911
1002,2024-03-14,ATO Integrated Client Account,BAS Payment,3964
1002,2024-03-14,Macquarie Cash Management,BAS Payment,-3964
1003,2024-01-27,ATO Integrated Client Account,BAS Payment,1376
1003,2024-01-27,Macquarie Cash Management,BAS Payment,-1376
1004,2023-12-03,ATO Integrated Client Account,BAS Payment,3577
1004,2023-12-03,Macquarie Cash Management,BAS Payment,-3577
1005,2024-01-03,Macquarie Cash Management,Client Payment,6029
1005,2024-01-03,Sales,Client Payment,-5480.91
1005,2024-01-03,GST Collected,Client Payment,-548.09
1006,2023-09-13,Macquarie Cash Management,Client Payment,6444
1006,2023-09-13,Sales,Client Payment,-5858.18
1006,2023-09-13,GST Collected,Client Payment,-585.82
1007,2024-04-01,Telstra Internet,Supplier Payment,798.18
1007,2024-04-01,GST Paid,Supplier Payment,79.82
1007,2024-04-01,Macquarie Cash Management,Supplier Payment,-878
1008,2024-04-19,Wages & Salaries,Payroll,4489
1008,2024-04-19,Superannuation Expense,Payroll,516.24
1008,2024-04-19,PAYG Withholding Payable,Payroll,-1122.25
1008,2024-04-19,Super Guarantee Payable,Payroll,-516.24
1008,2024-04-19,Macquarie Cash Management,Payroll,-3366.75
1009,2023-12-08,Wages & Salaries,Payroll,4789
1009,2023-12-08,Superannuation Expense,Payroll,550.74
1009,2023-12-08,PAYG Withholding Payable,Payroll,-1197.25
1009,2023-12-08,Super Guarantee Payable,Payroll,-550.74
1009,2023-12-08,Macquarie Cash Management,Payroll,-3591.75
1010,2024-03-23,Wages & Salaries,Payroll,5415
1010,2024-03-23,Superannuation Expense,Payroll,622.73
1010,2024-03-23,PAYG Withholding Payable,Payroll,-1353.75
1010,2024-03-23,Super Guarantee Payable,Payroll,-622.73
